《日本、中國常用漢字對照表第七》
序號        日本常用漢字        大陸簡化漢字        臺灣正體漢字        香港正體漢字
254        鑑        鉴        鑑/鑒        鑒
255        丸        丸        丸        丸
256        含        含        含        含
257        岸        岸        岸        岸
258        岩        岩        岩        岩
259        眼        眼        眼        眼
260        頑        顽        頑        頑
261        顔        颜        顏        顏
262        願        愿        願        願
263        企        企        企        企
264        危        危        危        危
265        机        机        机        机
266        気        气        氣        氣
267        岐        岐        岐        岐
268        希        希        希        希
269        忌        忌        忌        忌
270        汽        汽        汽        汽
271        奇        奇        奇        奇
272        祈        祈        祈        祈
273        季        季        季        季
274        紀        纪        紀        紀
275        軌        轨        軌        軌
276        既        既        既        既
277        記        记        記        記
278        起        起        起        起
279        飢        饥        飢        飢
280        鬼        鬼        鬼        鬼
281        帰        归        歸        歸
282        基        基        基        基
283        寄        寄        寄        寄
284        規        规        規        規
285        喜        喜        喜        喜
286        幾        几        幾        幾
287        揮        挥        揮        揮
288        期        期        期        期
289        棋        棋        棋        棋
290        貴        贵        貴        貴
291        棄        弃        棄        棄
292        旗        旗        旗        旗
293        器        器        器        器
294        輝        辉        輝        輝
295        機        机        機        機
296        騎        骑        騎        騎
297        技        技        技        技
298        宜        宜        宜        宜
299        偽        伪        偽        偽
300        欺        欺        欺        欺
301        義        义        義        義
302        疑        疑        疑        疑
303        儀        仪        儀        儀
304        戯        戏        戲        戲
305        擬        拟        擬        擬
306        犠        牺        犧        犧
307        議        议        議        議
308        菊        菊        菊        菊
309        吉        吉        吉        吉
310        喫        吃        吃        吃
311        詰        诘        詰        詰
312        却        却        卻        卻
313        客        客        客        客
314        脚        脚        腳        腳
315        逆        逆        逆        逆
316        虐        虐        虐        虐
317        九        九        九        九
318        久        久        久        久
319        及        及        及        及
320        弓        弓        弓        弓
321        丘        丘        丘        丘
322        旧        旧        舊        舊
323        休        休        休        休
324        吸        吸        吸        吸
325        朽        朽        朽        朽
326        求        求        求        求
327        究        究        究        究
328        泣        泣        泣        泣
329        急        急        急        急
330        級        级        級        級
331        糾        纠        糾        糾
332        宮        宫        宮        宮
333        救        救        救        救
334        球        球        球        球
335        給        给        給        給
336        窮        穷        窮        窮
337        牛        牛        牛        牛
338        去        去        去        去
339        巨        巨        巨        巨
340        居        居        居        居
341        拒        拒        拒        拒
342        拠        据        據        據
343        挙        举        舉        舉
344        虚        虚        虛        虛
345        許        许        許        許
346        距        距        距        距
347        魚        鱼        魚        魚
348        御        御        御        御
349        漁        渔        漁        漁
350        凶        凶        凶/兇        凶/兇
351        共        共        共        共
352        叫        叫        叫        叫
353        狂        狂        狂        狂
354        京        京        京        京
355        享        享        享        享
356        供        供        供        供
357        協        协        協        協
358        況        况        況        況
359        峡        峡        峽        峽
360        挟        挟        挾        挾
361        狭        狭        狹        狹
362        恐        恐        恐        恐
363        恭        恭        恭        恭
364        胸        胸        胸        胸
365        脅        胁        脅        脅
366        強        强        強        強
367        教        教        教        教
368        郷        乡        鄉        鄉
369        境        境        境        境
370        橋        桥        橋        橋
371        矯        矫        矯        矯
372        鏡        镜        鏡        鏡
373        競        竞        競        競
374        響        响        響        響
375        驚        惊        驚        驚
376        仰        仰        仰        仰
377        暁        晓        曉        曉
378        業        业        業        業
379        凝        凝        凝        凝
380        曲        曲        曲        曲
381        局        局        局        局
382        極        极        極        極
383        玉        玉        玉        玉
384        斤        斤        斤        斤
385        均        均        均        均
386        近        近        近        近
387        金        金        金        金
388        菌        菌        菌        菌
389        勤        勤        勤        勤
390        琴        琴        琴        琴
391        筋        筋        筋        筋
392        禁        禁        禁        禁
393        緊        紧        緊        緊
394        謹        谨        謹        謹
395        襟        襟        襟        襟
396        吟        吟        吟        吟
397        銀        银        銀        銀
398        区        区        區        區
399        句        句        句        句
400        苦        苦        苦        苦
401        駆        驱        驅        驅
402        具        具        具        具
403        愚        愚        愚        愚
404        空        空        空        空
405        偶        偶        偶        偶
406        遇        遇        遇        遇
407        隅        隅        隅        隅
408        屈        屈        屈        屈
409        掘        掘        掘        掘
410        繰        缫        繅        繅
411        君        君        君        君
412        訓        训        訓        訓
413        勲        勋        勛        勛
414        薫        薰        薰        薰
415        軍        军        軍        軍
416        郡        郡        郡        郡
417        群        群        群        羣
418        兄        兄        兄        兄
419        刑        刑        刑        刑
420        形        形        形        形
421        系        系        系        系
422        径        径        徑        徑
423        茎        茎        莖        莖
424        係        系        係        係
425        型        型        型        型
426        契        契        契        契
427        計        计        計        計
428        恵        惠        惠        惠
429        啓        启        啟        啟
430        掲        揭        揭        揭
431        渓        溪        溪        溪
432        経        经        經        經
433        蛍        萤        螢        螢
434        敬        敬        敬        敬
435        景        景        景        景
436        軽        轻        輕        輕
437        傾        倾        傾        傾
438        携        携        攜        攜
439        継        继        繼        繼
440        慶        庆        慶        慶
441        憩        憩        憩        憩
442        警        警        警        警
443        鶏        鸡        雞        雞
444        芸        艺        藝        藝
445        迎        迎        迎        迎
446        鯨        鲸        鯨        鯨
447        劇        剧        劇        劇
448        撃        击        擊        擊
449        激        激        激        激
450        欠        欠        欠        欠
451        穴        穴        穴        穴
452        血        血        血        血
453        決        决        決        決
454        結        结        結        結
455        傑        杰        傑        傑
456        潔        洁        潔        潔
457        月        月        月        月
458        犬        犬        犬        犬
459        件        件        件        件
460        見        见        見        見
461        券        券        券        券
462        肩        肩        肩        肩
463        建        建        建        建
464        研        研        研        研
465        県        县        縣        縣
466        倹        俭        儉        儉
467        兼        兼        兼        兼
468        剣        剑        劍        劍
469        軒        轩        軒        軒
470        健        健        健        健
471        険        险        險        險
472        圏        圈        圈        圈
473        堅        坚        堅        堅
474        検        检        檢        檢
475        嫌        嫌        嫌        嫌
476        献        献        獻        獻
477        絹        绢        絹        絹
478        遣        遣        遣        遣
479        権        权        權        權
480        憲        宪        憲        憲
481        賢        贤        賢        賢
482        謙        谦        謙        謙
483        繭        茧        繭        繭
484        顕        显        顯        顯
485        験        验        驗        驗
486        懸        悬        懸        懸
487        元        元        元        元
488        幻        幻        幻        幻
489        玄        玄        玄        玄
490        言        言        言        言
491        弦        弦        弦        弦
492        限        限        限        限
493        原        原        原        原
494        現        现        現        現
495        減        减        減        減
496        源        源        源        源
497        厳        严        嚴        嚴
498        己        己        己        己
499        戸        户        戶        户
500        古        古        古        古
501        呼        呼        呼        呼
502        固        固        固        固
503        孤        孤        孤        孤
504        弧        弧        弧        弧
505        故        故        故        故
506        枯        枯        枯        枯
507        個        个        個        個
508        庫        库        庫        庫
509        湖        湖        湖        湖
510        雇        雇        雇        雇
511        誇        夸        誇        誇
512        鼓        鼓        鼓        鼓
513        顧        顾        顧        顧
514        五        五        五        五
515        互        互        互        互
516        午        午        午        午
517        呉        吴        吳        吳
518        後        后        後        後
519        娯        娱        娛        娛
520        悟        悟        悟        悟
521        碁        棋        棋        棋
522        語        语        語        語
523        誤        误        誤        誤
524        護        护        護        護
525        口        口        口        口
526        工        工        工        工
527        公        公        公        公
528        孔        孔        孔        孔
529        功        功        功        功
530        巧        巧        巧        巧
531        広        广        廣        廣
532        甲        甲        甲        甲
533        交        交        交        交
534        光        光        光        光
535        向        向        向        向
536        后        后        后        后
537        好        好        好        好
538        江        江        江        江
539        考        考        考        考
540        行        行        行        行
541        坑        坑        坑        坑
542        孝        孝        孝        孝
543        抗        抗        抗        抗
544        攻        攻        攻        攻
545        更        更        更        更
546        効        效        效        效
547        幸        幸        幸        幸
548        拘        拘        拘        拘
549        肯        肯        肯        肯
550        侯        侯        侯        侯
551        厚        厚        厚        厚
552        恒        恒        恆        恆
553        洪        洪        洪        洪
554        皇        皇        皇        皇
555        紅        红        紅        紅
556        荒        荒        荒        荒
557        郊        郊        郊        郊
558        香        香        香        香
559        候        候        候        候
560        校        校        校        校
561        耕        耕        耕        耕
562        航        航        航        航
563        貢        贡        貢        貢
564        降        降        降        降
565        高        高        高        高
566        康        康        康        康
567        控        控        控        控
568        黄        黄        黃        黃
569        慌        慌        慌        慌
570        港        港        港        港
571        硬        硬        硬        硬
572        絞        绞        絞        絞
573        項        项        項        項
574        溝        沟        溝        溝
575        鉱        矿        礦        礦
576        構        构        構        構
577        綱        纲        綱        綱
578        酵        酵        酵        酵
579        稿        稿         稿        稿
580        興        兴        興        興
581        衡        衡        衡        衡
582        鋼        钢        鋼        鋼
583        講        讲        講        講
584        購        购        購        購
585        号        号        號        號
586        合        合        合        合
587        拷        拷        拷        拷
588        剛        刚        剛        剛
589        豪        豪        豪        豪
590        克        克        克        克
591        告        告        告        告
592        谷        谷        谷        谷
593        刻        刻        刻        刻
594        国        国        國        國
595        黒        黑        黑        黑
596        穀        谷        穀        穀
597        酷        酷        酷        酷
598        獄        狱        獄        獄
599        骨        骨        骨        骨
600        込        -        -        -
601        今        今        今        今
602        困        困        困        困
603        昆        昆        昆        昆
604        恨        恨        恨        恨
605        根        根        根        根
606        婚        婚        婚        婚
607        混        混        混        混
608        紺        绀        紺        紺
609        魂        魂        魂        魂
610        墾        垦        墾        墾
611        懇        恳        懇        懇
〔サ行〕        　        　        　        　
612        左        左        左        左
613        佐        佐        佐        佐
614        査        查        查        查
615        砂        砂        砂        砂
616        唆        唆        唆        唆
617        差        差        差        差
618        詐        诈        詐        詐
619        鎖        锁        鎖        鎖
620        座        座        座        座
621        才        才        才        才
622        再        再        再        再
623        災        灾        災        災
624        妻        妻        妻        妻
625        砕        碎        碎        碎
626        宰        宰        宰        宰
627        栽        栽        栽        栽
628        彩        彩        彩        彩
629        採        采        採        採
630        済        济        濟        濟
631        祭        祭        祭        祭
632        斎        斋        齋        齋
633        細        细        細        細
634        菜        菜        菜        菜
635        最        最        最        最
636        裁        裁        裁        裁
637        債        债        債        債
638        催        催        催        催
639        歳        岁        歲        歲
640        載        载        載        載
641        際        际        際        際
642        在        在        在        在
643        材        材        材        材
644        剤        剂        劑        劑
645        財        财        財        財
646        罪        罪        罪        罪
647        崎        崎        崎        崎
648        作        作        作        作
649        削        削        削        削
650        昨        昨        昨        昨
651        索        索        索        索
652        策        策        策        策
653        酢        醋        醋        醋
654        搾        榨        榨/搾        榨/搾
655        錯        错        錯        錯
656        咲        咲        咲        咲
657        冊        册        冊        冊
658        札        札        札        札
659        刷        刷        刷        刷
660        殺        杀        殺        殺
661        察        察        察        察
662        撮        撮        撮        撮
663        擦        擦        擦        擦
664        雑        杂        雜        雜
665        皿        皿        皿        皿
666        三        三        三        三
667        山        山        山        山
668        参        参        參        參
669        桟        栈        棧        棧
670        蚕        蚕        蠶        蠶
671        惨        惨        慘        慘
672        産        产        產        產
673        傘        伞        傘        傘
674        散        散        散        散
675        算        算        算        算
676        酸        酸        酸        酸
677        賛        赞        贊        贊
678        残        残        殘        殘
679        暫        暂        暫        暫
680        士        士        士        士
681        子        子        子        子
682        支        支        支        支
683        止        止        止        止
684        氏        氏        氏        氏
685        仕        仕        仕        仕
686        史        史        史        史
687        司        司        司        司
688        四        四        四        四
689        市        市        市        市
690        矢        矢        矢        矢
691        旨        旨        旨        旨
692        死        死        死        死
693        糸        丝        絲        絲
694        至        至        至        至
695        伺        伺        伺        伺
696        志        志        志        志
697        私        私        私        私
698        使        使        使        使
699        刺        刺        刺        刺
700        始        始        始        始
701        姉        姊        姊        姊
702        枝        枝        枝        枝
703        祉        祉        祉        祉
704        肢        肢        肢        肢
705        姿        姿        姿        姿
706        思        思        思        思
707        指        指        指        指
708        施        施        施        施
709        師        师        師        師
710        紙        纸        紙        紙
711        脂        脂        脂        脂
712        視        视        視        視
713        紫        紫        紫        紫
714        詞        词        詞        詞
715        歯        齿        齒        齒
716        嗣        嗣        嗣        嗣
717        試        试        試        試
718        詩        诗        詩        詩
719        資        资        資        資
720        飼        饲        飼        飼
721        誌        志        誌        誌
722        雌        雌        雌        雌
723        賜        赐        賜        賜
724        諮        咨        諮        諮
725        示        示        示        示
726        字        字        字        字
727        寺        寺        寺        寺
728        次        次        次        次
729        耳        耳        耳        耳
730        自        自        自        自
731        似        似        似        似
732        児        儿        兒        兒
733        事        事        事        事
734        侍        侍        侍        侍
735        治        治        治        治
736        持        持        持        持
737        時        时        時        時
738        滋        滋        滋        滋
739        慈        慈        慈        慈
740        辞        辞        辭        辭
741        磁        磁        磁        磁
742        璽        玺        璽        璽
743        式        式        式        式
744        識        识        識        識
745        軸        轴        軸        軸
746        七        七        七        七
747        失        失        失        失
748        室        室        室        室
749        疾        疾        疾        疾
750        執        执        執        執
751        湿        湿        溼        溼
752        漆        漆        漆        漆
753        質        质        質        質
754        実        实        實        實
755        芝        芝        芝        芝
756        写        写        寫        寫
757        社        社        社        社
758        車        车        車        車
759        舎        舍        舍        舍
760        者        者        者        者
761        射        射        射        射
762        捨        舍        捨        捨
763        赦        赦        赦        赦
764        斜        斜        斜        斜
765        煮        煮        煮        煮
766        遮        遮        遮        遮
767        謝        谢        謝        謝
768        邪        邪        邪        邪
769        蛇        蛇        蛇        蛇
770        勺        勺        勺        勺
771        尺        尺        尺        尺
772        借        借        借        借
773        酌        酌        酌        酌
774        釈        释        釋        釋
775        爵        爵        爵        爵
776        若        若        若        若
777        弱        弱        弱        弱
778        寂        寂        寂        寂
779        手        手        手        手
780        主        主        主        主
781        守        守        守        守
782        朱        朱        朱        朱
783        取        取        取        取
784        狩        狩        狩        狩
785        首        首        首        首
786        殊        殊        殊        殊
787        珠        珠        珠        珠
788        酒        酒        酒        酒
789        種        种        種        種
790        趣        趣        趣        趣
791        寿        寿        壽        壽
792        受        受        受        受
793        授        授        授        授
794        需        需        需        需
795        儒        儒        儒        儒
796        樹        树        樹        樹
797        収        收        收        收
798        囚        囚        囚        囚
799        州        州        州        州
800        舟        舟        舟        舟
801        秀        秀        秀        秀
802        周        周        周        周
803        宗        宗        宗        宗
804        拾        拾        拾        拾
805        秋        秋        秋        秋
806        臭        臭        臭        臭
807        修        修        修        修
808        終        终        終        終
809        習        习        習        習
810        週        周        週        週
811        就        就        就        就
812        衆        众        眾        眾
813        集        集        集        集
814        愁        愁        愁        愁
815        酬        酬        酬        酬
816        醜        丑        醜        醜
817        襲        袭        襲        襲
818        十        十        十        十
819        汁        汁        汁        汁
820        充        充        充        充
821        住        住        住        住
822        柔        柔        柔        柔
823        重        重        重        重
824        従        从        從        從
825        渋        涩        澀        澀
826        銃        铳        銃        銃
827        獣        兽        獸        獸
828        縦        纵        縱        縱
829        叔        叔        叔        叔
830        祝        祝        祝        祝
831        宿        宿        宿        宿
832        淑        淑        淑        淑
833        粛        肃        肅        肅
834        縮        缩        縮        縮
835        塾        塾        塾        塾
836        熟        熟        熟        熟
837        出        出        出        出
838        述        述        述        述
839        術        术        術        術
840        俊        俊        俊        俊
841        春        春        春        春
842        瞬        瞬        瞬        瞬
843        旬        旬        旬        旬
844        巡        巡        巡        巡
845        盾        盾        盾        盾
846        准        准        准        准
847        殉        殉        殉        殉
848        純        纯        純        純
849        循        循        循        循
850        順        顺        順        順
851        準        准        準        準
852        潤        润        潤        潤
853        遵        遵        遵        遵
854        処        处        處        處
855        初        初        初        初
856        所        所        所        所
857        書        书        書        書
858        庶        庶        庶        庶
859        暑        暑        暑        暑
860        署        署        署        署
861        緒        绪        緒        緒
862        諸        诸        諸        諸
863        女        女        女        女
864        如        如        如        如
865        助        助        助        助
866        序        序        序        序
867        叙        叙        敘        敍
868        徐        徐        徐        徐
869        除        除        除        除
870        小        小        小        小
871        升        升        升        升
872        少        少        少        少
873        召        召        召        召
874        匠        匠        匠        匠
875        床        床        床        牀
876        抄        抄        抄        抄
877        肖        肖        肖        肖
878        尚        尚        尚        尚
879        招        招        招        招
880        承        承        承        承
881        昇        升        昇        昇
882        松        松        松        松
883        沼        沼        沼        沼
884        昭        昭        昭        昭
885        宵        宵        宵        宵
886        将        将        將        將
887        消        消        消        消
888        症        症        症        症
889        祥        祥        祥        祥
890        称        称        稱        稱
891        笑        笑        笑        笑
892        唱        唱        唱        唱
893        商        商        商        商
894        渉        涉        涉        涉
895        章        章        章        章
896        紹        绍        紹        紹
897        訟        讼        訟        訟
898        勝        胜        勝        勝
899        掌        掌        掌        掌
900        晶        晶        晶        晶
901        焼        烧        燒        燒
902        焦        焦        焦        焦
903        硝        硝        硝        硝
904        粧        妆        妝        妝
905        詔        诏        詔        詔
906        証        証        証        証
907        象        象        象        象
908        傷        伤        傷        傷
909        奨        奖        獎        獎
910        照        照        照        照
911        詳        详        詳        詳
912        彰        彰        彰        彰
913        障        障        障        障
914        衝        冲        衝        衝
915        賞        赏        賞        賞
916        償        偿        償        償
917        礁        礁        礁        礁
918        鐘        钟        鐘        鐘
919        上        上        上        上
920        丈        丈        丈        丈
921        冗        冗        冗        宂
922        条        条        條        條
923        状        状        狀        狀
924        乗        乘        乘        乘
925        城        城         城        城
926        浄        净        淨        淨
927        剰        剩        剩        剩
928        常        常        常        常
929        情        情        情        情
930        場        场        場        場
931        畳        叠        疊        疊
932        蒸        蒸        蒸        蒸
933        縄        绳        繩        繩
934        壌        壤        壤        壤
935        嬢        娘        娘        娘
936        錠        锭        錠        錠
937        譲        让        讓        讓
938        醸        酿        釀        釀
939        色        色        色        色
940        食        食        食        食
941        植        植        植        植
942        殖        殖        殖        殖
943        飾        饰        飾        飾
944        触        触        觸        觸
945        嘱        嘱        囑        囑
946        織        织        織        織
947        職        职        職        職
948        辱        辱        辱        辱
949        心        心        心        心
950        申        申        申        申
951        伸        伸        伸        伸
952        臣        臣        臣        臣
953        身        身        身        身
954        辛        辛        辛        辛
955        侵        侵        侵        侵
956        信        信        信        信
957        津        津        津        津
958        神        神        神        神
959        唇        唇        脣        脣
960        娠        娠        娠        娠
961        振        振        振        振
962        浸        浸        浸        浸
963        真        真        真        真
964        針        针        針        針
965        深        深        深        深
966        紳        绅        紳        紳
967        進        进        進        進
968        森        森        森        森
969        診        诊        診        診
970        寝        寝        寢        寢
971        慎        慎        慎        慎
972        新        新        新        新
973        審        审        審        審
974        震        震        震        震
975        薪        薪        薪        薪
976        親        亲        親        親
977        人        人        人        人
978        刃        刃        刃        刃
979        仁        仁        仁        仁
980        尽        尽        盡        盡
981        迅        迅        迅        迅
982        甚        甚        甚        甚
983        陣        阵        陣        陣
984        尋        寻        尋        尋
985        図        图        圖        圖
986        水        水        水        水
987        吹        吹        吹        吹
988        垂        垂        垂        垂
989        炊        炊        炊        炊
990        帥        帅        帥        帥
991        粋        粹        粹        粹
992        衰        衰        衰        衰
993        推        推        推        推
994        酔        醉        醉        醉
995        遂        遂        遂        遂
996        睡        睡        睡        睡
997        穂        穗        穗        穗
998        錘        锤        錘        錘
999        随        随        隋        隋
1000        髄        髓        髓        髓
1001        枢        枢        樞        樞
1002        崇        崇        崇        崇
1003        数        数        數        數
1004        据        据        据        据
1005        杉        杉        杉        杉
1006        寸        寸        寸        寸
1007        畝        亩        畝        畝
1008        瀬        濑        瀨        瀨
1009        是        是        是        是
1010        井        井        井        井
1011        世        世        世        世
1012        正        正        正        正
1013        生        生        生        生
1014        成        成        成        成
1015        西        西        西        西
1016        声        声        聲        聲
1017        制        制        制        制
1018        姓        姓        姓        姓
1019        征        征        征        征
1020        性        性        性        性
1021        青        青        青        青
1022        斉        齐        齊        齊
1023        政        政        政        政
1024        星        星        星        星
1025        牲        牲        牲        牲
1026        省        省        省        省
1027        逝        逝        逝        逝
1028        清        清        清        清
1029        盛        盛        盛        盛
1030        婿        婿        婿        婿
1031        晴        晴        晴        晴
1032        勢        势        勢        勢
1033        聖        圣        聖        聖
1034        誠        诚        誠        誠
1035        精        精        精        精
1036        製        制        製        製
1037        誓        誓        誓        誓
1038        静        静        靜        靜
1039        請        请        請        請
1040        整        整        整        整
1041        税        税        稅        稅
1042        夕        夕        夕        夕
1043        斥        斥        斥        斥
1044        石        石        石        石
1045        赤        赤        赤        赤
1046        昔        昔        昔        昔
1047        析        析        析        析
1048        隻        只        隻        隻
1049        席        席        席        席
1050        惜        惜        惜        惜
1051        責        责        責        責
1052        跡        迹        跡        跡
1053        積        积        積        積
1054        績        绩        績        績
1055        籍        籍        籍        籍
1056        切        切        切        切
1057        折        折        折        折
1058        拙        拙        拙        拙
1059        窃        窃        竊        竊
1060        接        接        接        接
1061        設        设        設        設
1062        雪        雪        雪        雪
1063        摂        摄        攝        攝
1064        節        节        節        節
1065        説        说        說        說
1066        舌        舌        舌        舌
1067        絶        绝        絕        絕
1068        千        千        千        千
1069        川        川        川        川
1070        仙        仙        仙        仙
1071        占        占        占        占
1072        先        先        先        先
1073        宣        宣        宣        宣
1074        専        专        專        專
1075        泉        泉        泉        泉
1076        浅        浅        淺        淺
1077        洗        洗        洗        洗
1078        染        染        染        染
1079        扇        扇        扇        扇
1080        栓        栓        栓        栓
1081        旋        旋        旋        旋
1082        船        船        船        船
1083        戦        战        戰        戰
1084        践        践        踐        踐
1085        銭        钱        錢        錢
1086        銑        铣        銑        銑
1087        潜        潜        潛        潛
1088        線        线        線        線
1089        遷        迁        遷        遷
1090        選        选        選        選
1091        薦        荐        荐        荐
1092        繊        纤        纖        纖
1093        鮮        鲜        鮮        鮮
1094        全        全        全        全
1095        前        前        前        前
1096        善        善        善        善
1097        然        然        然        然
1098        禅        禅        禪        禪
1099        漸        渐        漸        漸
1100        繕        缮        繕        繕
1101        阻        阻        阻        阻
1102        祖        祖        祖        祖
1103        租        租        租        租
1104        素        素        素        素
1105        措        措        措        措
1106        粗        粗        粗        粗
1107        組        组        組        組
